order_month,delivered_orders,late_orders,avg_delivery_days,avg_delay_days,avg_freight,avg_review,late_delivery_rate
1,7819,487,13.943059183648092,-13.626244759915307,21.604613121882593,4.117358782563838,6.228417956260392
2,8209,1102,16.18632459913013,-9.815749214389808,21.532622731148738,3.9463051568314724,13.424290412961385
3,9549,1638,15.408156996272636,-7.344615317485252,23.287683527070897,3.9130343007915567,17.15362865221489
4,9101,542,12.364332839390869,-12.243970580156027,23.01808152950225,4.18884096438841,5.955389517635425
5,10294,684,11.385739560171693,-11.985565277822753,22.21954342335341,4.2369372008985255,6.644647367398485
6,9231,204,10.180754300876275,-16.31812648453079,24.264325641858953,4.278721550691495,2.209944751381215
7,10028,409,9.975710458632497,-11.114942384702463,24.381193657758274,4.294862784471219,4.0785799760670125
8,10544,799,9.090551753147304,-9.39413626167067,22.576599013657056,4.310814673654121,7.577769347496206
9,4151,217,11.861356369393363,-10.575058648295368,22.569576005781737,4.266690944403981,5.227655986509275
10,4748,240,12.295812052443134,-12.57860980208041,22.982984414490314,4.191915977084659,5.054759898904802
11,7288,1043,15.161131699241778,-7.399620315422104,22.719717343578484,3.9887384275252176,14.31119648737651
12,5514,462,15.392977670894961,-12.288062814015502,21.228476605005444,4.089710728670816,8.37867247007617
